Entity_90,Code_90,Year_90,Meat_90,GDP_90,Population_90,Entity_93,Code_93,Year_93,Meat_93,GDP_93,Population_93,Entity_96,Code_96,Year_96,Meat_96,GDP_96,Population_96,Entity_99,Code_99,Meat_99,Meat_99,GDP_99,Population_99,Entity_02,Code_02,Year_02,Meat_02,GDP_02,Population_02,Entity_05,Code_05,Year_05,Meat_05,GDP_05,Population_05,Entity_08,Code_08,Year_08,Meat_08,GDP_08,Population_08,Entity_11,Code_11,Year_11,Meat_11,GDP_11,Population_11,Entity_14,Code_14,Year_14,Meat_14,GDP_14,Population_14,Entity_17,Code_17,Year_17,Meat_17,GDP_17,Population_17,Entity_19,Code_19,Year_19,Meat_19,GDP_19,Population_19
Benin,BEN,1990,10.38675404,2175.208496,5133429,Barbados,BRB,1993,74.44891357,12632.18945,261001,Barbados,BRB,1996,76.6750412,13505.79785,262808,Barbados,BRB,1999,79.77393341,14537.00195,264181,Bangladesh,BGD,2002,3.61962533,2037.236328,134139824,Bangladesh,BGD,2005,3.79880071,2279.53125,140912592,Bangladesh,BGD,2008,3.999073982,2659.049316,145421328,Bangladesh,BGD,2011,3.889996529,3034.951172,150211008,Bangladesh,BGD,2014,4.369988918,3511.645508,155961312,Bangladesh,BGD,2017,4.269988537,4160.703125,161793968,Bangladesh,BGD,2019,4.239995003,4753.727051,165516224
Bermuda,BMU,1990,109.8653259,65961.40625,57490,Belarus,BLR,1993,74.47586823,7305.307129,10480485,Belarus,BLR,1996,60.15836716,5988.039551,10436455,Belarus,BLR,1999,64.84441376,7575.918457,10308281,Barbados,BRB,2002,64.9861145,14778.87207,266467,Barbados,BRB,2005,75.1834106,15752.3604,269489,Barbados,BRB,2008,69.32472229,16946.67188,272647,Barbados,BRB,2011,65.25299835,15444.74609,275501,Barbados,BRB,2014,67.3313446,15041.55469,277501,Barbados,BRB,2017,70.21377563,15789.04102,279199,Barbados,BRB,2019,72.06472778,15639.04785,280193
Bolivia,BOL,1990,38.65693665,4587.429199,7096195,Belize,BLZ,1993,40.29632187,6116.242188,194192,Belize,BLZ,1996,40.10596085,5784.20166,209857,Belize,BLZ,1999,38.91923523,6042.650391,232750,Belarus,BLR,2002,59.01124573,8961.641602,10135391,Belarus,BLR,2005,62.5561218,11940.1865,9935166,Belarus,BLR,2008,78.32542419,15942.89746,9787829,Belarus,BLR,2011,90.20697021,18274.02148,9706983,Belarus,BLR,2014,75.17205811,19119.3457,9693741,Belarus,BLR,2017,78.40807343,18356.10156,9707874,Belarus,BLR,2019,82.38643646,19279.20898,9673971
Botswana,BWA,1990,32.46079254,8431.739258,1341480,Benin,BEN,1993,12.88909435,2227.353271,5706188,Benin,BEN,1996,10.47866631,2277.761719,6203860,Benin,BEN,1999,13.46158886,2411.991455,6788596,Belgium,BEL,2002,84.02967072,43890.59766,10355569,Belgium,BEL,2005,81.4486008,46342.1875,10516979,Belgium,BEL,2008,68.54332733,48423.51563,10726720,Belgium,BEL,2011,66.56851196,48154.87109,10955742,Belgium,BEL,2014,58.77882004,48748.62109,11176727,Belgium,BEL,2017,54.19117355,50442.26953,11384491,Belgium,BEL,2019,60.95827866,51944.16797,11510569
Brazil,BRA,1990,49.62381363,10520.74316,150706448,Bermuda,BMU,1993,86.38183594,65967.85156,58763,Bermuda,BMU,1996,93.60765076,69643.40625,59857,Bermuda,BMU,1999,92.32288361,76772.32031,61004,Belize,BLZ,2002,50.00872803,6819.462891,256000,Belize,BLZ,2005,46.8096314,7363.84961,280386,Belize,BLZ,2008,43.41651154,7426.870117,305687,Belize,BLZ,2011,43.82865524,7259.64502,329546,Belize,BLZ,2014,42.82559586,7322.882813,352343,Belize,BLZ,2017,41.09458923,7193.634277,374702,Belize,BLZ,2019,52.71255875,7251.88623,389103
Brunei,BRN,1990,54.74510574,71232.78906,261936,Bolivia,BOL,1993,38.97388458,4804.540039,7544494,Bolivia,BOL,1996,43.78553772,5164.25,7989373,Bolivia,BOL,1999,48.17589951,5386.179199,8439057,Benin,BEN,2002,18.07148361,2570.787354,7431787,Benin,BEN,2005,13.5201159,2581.64233,8149420,Benin,BEN,2008,18.03490448,2738.194336,8906472,Benin,BEN,2011,23.57042503,2707.869629,9726385,Benin,BEN,2014,26.05040741,2975.854736,10614845,Benin,BEN,2017,16.81970978,3044.51709,11596786,Benin,BEN,2019,16.88978386,3287.30957,12290443
Bulgaria,BGR,1990,62.15578842,12507.71387,8767778,Botswana,BWA,1993,31.94781113,8740.441406,1462267,Bosnia and Herzegovina,BIH,1996,25.82723618,3946.67041,3907749,Bosnia and Herzegovina,BIH,1999,18.60287285,6757.747559,4153006,Bermuda,BMU,2002,92.35240173,86364.15625,62156,Bermuda,BMU,2005,78.0247498,91114.0781,62980,Bermuda,BMU,2008,108.9050674,95855.79688,63277,Bolivia,BOL,2011,68.8303299,6844.983887,10396249,Bolivia,BOL,2014,67.45304108,7730.638184,10916991,Bolivia,BOL,2017,82.09107208,8423.697266,11435535,Bolivia,BOL,2019,80.61928558,8724.474609,11777318
Burkina Faso,BFA,1990,13.479949,1017.540039,9131362,Brazil,BRA,1993,55.35708237,10537.27344,158440864,Botswana,BWA,1996,33.46012878,9539.383789,1582175,Botswana,BWA,1999,21.71435165,10636.84668,1691561,Bolivia,BOL,2002,49.48053741,5434.083984,8900591,Bolivia,BOL,2005,54.4947434,5749.53174,9377395,Bolivia,BOL,2008,72.65144348,6351.226074,9880593,Bosnia and Herzegovina,BIH,2011,33.02843857,11176.88086,3743143,Bosnia and Herzegovina,BIH,2014,34.0689621,12066.5918,3571070,Bosnia and Herzegovina,BIH,2017,40.9856987,13753.83789,3440025,Bosnia and Herzegovina,BIH,2019,37.80002213,14896.7959,3360718
Cameroon,CMR,1990,15.27694225,3379.825684,11430519,Brunei,BRN,1993,61.02299118,70908.80469,284723,Brazil,BRA,1996,70.15496826,11321.38965,166037120,Brazil,BRA,1999,76.30130005,11272.70703,173486272,Bosnia and Herzegovina,BIH,2002,23.11184692,8162.500977,4198410,Bosnia and Herzegovina,BIH,2005,21.1964302,9350.94727,4094297,Bosnia and Herzegovina,BIH,2008,25.47424698,11035.04297,3943390,Botswana,BWA,2011,38.54223251,13724.6709,2134043,Botswana,BWA,2014,26.66487503,16042.05273,2260383,Botswana,BWA,2017,24.59915161,15948.03223,2401848,Botswana,BWA,2019,25.98334885,16347.91016,2499705
Cape Verde,CPV,1990,16.43589401,1748.61853,364572,Bulgaria,BGR,1993,62.1054039,10765.15039,8611541,Brunei,BRN,1996,75.39688873,72695.14844,306210,Brunei,BRN,1999,66.89013672,68540.82031,327058,Botswana,BWA,2002,24.42935371,10896.88281,1795137,Botswana,BWA,2005,29.1450577,11600.3291,1892819,Botswana,BWA,2008,28.03621483,13581.16895,2007322,Brazil,BRA,2011,92.76021576,15323.33105,198185296,Brazil,BRA,2014,96.36012268,15749.51172,203459648,Brazil,BRA,2017,99.36008453,14524.61328,208504960,Brazil,BRA,2019,99.53022766,14763.87207,211782880
Central African Republic,CAF,1990,26.66259575,1201.674683,2809223,Burkina Faso,BFA,1993,13.60932541,1061.586914,9840080,Bulgaria,BGR,1996,57.77153015,12015.92676,8401382,Bulgaria,BGR,1999,57.39284897,9993.449219,8162298,Brazil,BRA,2002,78.62709808,11800.84082,180476688,Brazil,BRA,2005,74.5259628,12565.9414,186797344,Brazil,BRA,2008,86.06136322,14114.97461,192672320,Bulgaria,BGR,2011,56.69267273,18661.48047,7543128,Bulgaria,BGR,2014,55.74271011,19202.80859,7372142,Bulgaria,BGR,2017,57.026371,21469.94531,7182430,Bulgaria,BGR,2019,59.88899994,23265.87695,7052536
Chad,TCD,1990,16.59862518,1003.785522,5827070,Cambodia,KHM,1993,15.30136967,1763.817871,10243554,Burkina Faso,BFA,1996,13.84035492,1162.451416,10621215,Burkina Faso,BFA,1999,13.80914879,1309.402588,11533557,Brunei,BRN,2002,70.16243744,70771.60156,347470,Brunei,BRN,2005,62.5508881,69787.8203,366728,Brunei,BRN,2008,73.7308197,68856.16406,384579,Burkina Faso,BFA,2011,16.62008858,1775.779175,16602652,Burkina Faso,BFA,2014,14.99997425,1907.949219,18169844,Burkina Faso,BFA,2017,12.34984875,2044.386963,19835860,Burkina Faso,BFA,2019,12.5197649,2175.504639,20951638
Chile,CHL,1990,37.84638596,9849.648438,13342876,Cameroon,CMR,1993,14.40349197,2656.024414,12486776,Cambodia,KHM,1996,14.60229874,1214.926392,11182613,Cambodia,KHM,1999,15.25378799,1377.498657,11899010,Bulgaria,BGR,2002,53.82570267,12036.18359,7974804,Bulgaria,BGR,2005,50.6738548,14779.1934,7815221,Bulgaria,BGR,2008,51.35255814,18250.54102,7674912,Cambodia,KHM,2011,14.44958115,2862.907959,14573894,Burundi,BDI,2014,2.839999676,886.2354126,10494920,Burundi,BDI,2017,2.610002279,773.572876,11155592,Burundi,BDI,2019,2.420000792,751.6641235,11874838
China,CHN,1990,23.47923088,1423.896362,1153704192,Cape Verde,CPV,1993,27.47839928,1974.240601,391764,Cameroon,CMR,1996,14.34691143,2671.686279,13575327,Cameroon,CMR,1999,14.80300617,2825.619141,14698975,Burkina Faso,BFA,2002,14.29337406,1362.280151,12632278,Burkina Faso,BFA,2005,17.2200832,1527.02222,13876134,Burkina Faso,BFA,2008,16.37679291,1632.948608,15197917,Cameroon,CMR,2011,13.66974354,3242.354492,20448880,Cambodia,KHM,2014,14.52046967,3364.278076,15210817,Cambodia,KHM,2017,13.38965511,3928.374023,15830694,Cambodia,KHM,2019,12.7303524,4388.800781,16207746
Colombia,COL,1990,35.44756699,8307.25293,32601396,Central African Republic,CAF,1993,27.18597412,1033.830933,3089148,Cape Verde,CPV,1996,22.07691956,2769.275146,421018,Canada,CAN,1999,102.4321976,35782.69141,30399776,Cambodia,KHM,2002,15.52708626,1642.608032,12561783,Cambodia,KHM,2005,16.1801205,2120.55176,13246588,Cambodia,KHM,2008,16.0759201,2640.631592,13943897,Canada,CAN,2011,89.75959778,45822.59766,34323536,Cameroon,CMR,2014,13.88008976,3470.785645,22299590,Cameroon,CMR,2017,12.38996506,3665.11792,24393182,Cameroon,CMR,2019,11.93982124,3742.856689,25782342
Congo,COG,1990,12.99318123,5068.287109,2385433,Chad,TCD,1993,15.15919495,901.0256348,6448279,Central African Republic,CAF,1996,31.68502235,1027.650024,3363576,Cape Verde,CPV,1999,23.7099247,3622.653809,449630,Cameroon,CMR,2002,14.7941246,2954.419189,15914029,Cameroon,CMR,2005,15.5774756,3144.93921,17275174,Cameroon,CMR,2008,15.92826748,3226.595459,18777082,Cape Verde,CPV,2011,31.73903084,6366.128418,527528,Canada,CAN,2014,90.74913788,47564.60938,35404616,Canada,CAN,2017,90.08978271,48317.17578,36554344,Canada,CAN,2019,93.67990112,49171.51172,37522584
Costa Rica,CRI,1990,40.24151611,9932.629883,3158257,Chile,CHL,1993,48.00493622,11977.02539,13998387,Chad,TCD,1996,13.74339008,929.5803833,7200292,Central African Republic,CAF,1999,27.27152443,1091.36084,3655366,Canada,CAN,2002,101.1017227,38169.10547,31322400,Canada,CAN,2005,95.6530228,42046.8711,32215914,Canada,CAN,2008,96.43352509,45851.62891,33218542,Central African Republic,CAF,2011,35.27288055,1242.714844,4732037,Cape Verde,CPV,2014,30.94351196,6281.793945,546083,Cape Verde,CPV,2017,31.9003582,6643.179688,564959,Cape Verde,CPV,2019,32.74381256,7171.82666,577037
Cote d'Ivoire,CIV,1990,20.09702682,4271.56543,11910540,China,CHN,1993,29.51101875,1949.534302,1195855616,Chile,CHL,1996,59.15109253,13990.92676,14615489,Chad,TCD,1999,14.53820419,939.2729492,7981888,Cape Verde,CPV,2002,26.05063629,4228.513184,473237,Cape Verde,CPV,2005,33.4965057,4964.79736,492841,Cape Verde,CPV,2008,34.33407211,6341.20459,510342,Chad,TCD,2011,37.16004181,1676.769409,12317729,Central African Republic,CAF,2014,37.28857422,822.6112061,4798739,Central African Republic,CAF,2017,38.38980865,912.8030396,4996741,Central African Republic,CAF,2019,38.95853043,945.1420288,5209329
Cyprus,CYP,1990,77.32871246,25232,788501,Colombia,COL,1993,34.23381805,8764.526367,34614732,China,CHN,1996,34.48666763,2601.363525,1228298880,Chile,CHL,1999,62.52265549,15022.91504,15176418,Central African Republic,CAF,2002,31.9817543,1077.954102,3930654,Central African Republic,CAF,2005,32.7109757,1026.91394,4208845,Central African Republic,CAF,2008,34.28603363,1085.440308,4467237,Chile,CHL,2011,77.99188232,22337.86133,17173568,Chad,TCD,2014,40.93131256,1866.266113,13697128,Chad,TCD,2017,44.78071213,1587.032349,15085893,Chad,TCD,2019,45.84033966,1579.626099,16126868
Denmark,DNK,1990,98.00869751,39027.98047,5144626,Congo,COG,1993,24.08931732,4854.626465,2594181,Colombia,COL,1996,36.71739197,9424.09668,36632576,China,CHN,1999,41.1321106,3206.72998,1255433216,Chad,TCD,2002,13.2921381,1007.062744,8838371,Chad,TCD,2005,12.7150822,1618.1366,10005013,Chad,TCD,2008,12.34917736,1564.791748,11098672,China,CHN,2011,56.00001526,9680.097656,1357095424,Chile,CHL,2014,80.53014374,24173.06445,17687108,Chile,CHL,2017,86.62795258,24470.70313,18368582,Chile,CHL,2019,84.45983887,24967.58008,19039484
Dominica,DMA,1990,54.07017899,7775.4375,69501,Costa Rica,CRI,1993,41.40616226,10988.77539,3405376,Congo,COG,1996,17.26518822,4571.971191,2816600,Colombia,COL,1999,34.88855743,8927.730469,38585040,Chile,CHL,2002,65.2996521,16293.18555,15693798,Chile,CHL,2005,71.0351639,18634.627,16175315,Chile,CHL,2008,78.17007446,20840.4043,16661463,Colombia,COL,2011,47.55026245,12480.54688,45308896,China,CHN,2014,59.17000198,11851.4043,1385189632,China,CHN,2017,61.33001328,14243.53223,1410275968,China,CHN,2019,63.6700058,15977.64551,1421864064
Dominican Republic,DOM,1990,29.06738091,6203.208008,7129004,Cote d'Ivoire,CIV,1993,17.88824081,3822.907715,13316449,Costa Rica,CRI,1996,42.63869476,11255.97363,3656235,Congo,COG,1999,13.20415306,4209.771484,3016661,China,CHN,2002,44.20940781,4024.355713,1280926080,China,CHN,2005,47.9813843,5334.64648,1304887552,China,CHN,2008,53.28992462,7412.874512,1330167168,Comoros,COM,2011,18.96131897,2924.685547,670081,Colombia,COL,2014,54.75033951,13852.24219,46677944,Colombia,COL,2017,58.09018707,14171.32031,48351668,Colombia,COL,2019,62.27945328,14585.30273,50187404
Ecuador,ECU,1990,24.75849724,8293.740234,10449845,Cyprus,CYP,1993,82.04504395,25936.68555,825993,Cote d'Ivoire,CIV,1996,15.88404083,4025.030762,14810945,Costa Rica,CRI,1999,43.64664078,12394.54785,3901431,Colombia,COL,2002,36.23950577,9137.463867,40454056,Colombia,COL,2005,40.8371277,10049.126,42220944,Colombia,COL,2008,45.15812683,11393.20215,43815316,Congo,COG,2011,21.77078247,5137.611816,4584223,Comoros,COM,2014,22.35851288,2996.379395,714617,Comoros,COM,2017,21.97296906,3032.262207,761672,Comoros,COM,2019,9.48121357,3058.818115,790993
Egypt,EGY,1990,15.57599449,6086.686523,57214632,Czechia,CZE,1993,94.54737854,20760.05469,10318915,Croatia,HRV,1996,29.9308033,16273.51367,4758624,Cote d'Ivoire,CIV,1999,13.00030708,4258.219238,16345895,Congo,COG,2002,14.83088303,4512.432129,3331170,Congo,COG,2005,15.3542795,4634.97168,3672845,Congo,COG,2008,20.88979149,4487.377441,4089607,Costa Rica,CRI,2011,50.35906601,17360.20117,4679927,Congo,COG,2014,28.57021141,5552.844727,4944865,Congo,COG,2017,38.85227203,4234.659668,5312347,Congo,COG,2019,37.28343582,3825.701416,5570736
El Salvador,SLV,1990,13.44600487,5287.495605,5367182,Denmark,DNK,1993,100.3049316,39979.75781,5193776,Cyprus,CYP,1996,83.55922699,28529.88672,880064,Croatia,HRV,1999,33.89736176,17670.22461,4605329,Costa Rica,CRI,2002,39.52317429,13054.71875,4122628,Costa Rica,CRI,2005,43.1949196,14149.5195,4315894,Costa Rica,CRI,2008,50.00077057,16527.43555,4501921,Cote d'Ivoire,CIV,2011,11.35018826,3491.02124,21562916,Costa Rica,CRI,2014,47.1261673,18669.0957,4844293,Costa Rica,CRI,2017,51.06046677,20347.03516,4993849,Costa Rica,CRI,2019,52.64457703,20937.53906,5084527
Eswatini,SWZ,1990,24.70142555,5097.82373,854020,Dominica,DMA,1993,64.20458221,8168.005371,69196,Czechia,CZE,1996,83.92876434,23756.97852,10295653,Cyprus,CYP,1999,88.21995544,31421.02344,931612,Cote d'Ivoire,CIV,2002,12.31884956,3760.719482,17683904,Cote d'Ivoire,CIV,2005,13.2199793,3505.48682,18970216,Cote d'Ivoire,CIV,2008,12.89013386,3574.517578,20244452,Croatia,HRV,2011,59.91104889,24563.84766,4351838,Cote d'Ivoire,CIV,2014,12.23017693,4225.955566,22995554,Cote d'Ivoire,CIV,2017,11.46977806,4830.750488,24848024,Cote d'Ivoire,CIV,2019,11.1101923,5212.554199,26147544
Fiji,FJI,1990,42.55638885,8451.426758,780437,Dominican Republic,DOM,1993,34.63766479,7068.10791,7576083,Denmark,DNK,1996,102.3633041,44013.38672,5256002,Czechia,CZE,1999,80.82350922,23948.38477,10249145,Croatia,HRV,2002,40.73794937,20773.8457,4482874,Croatia,HRV,2005,49.8742485,23771.9453,4429687,Croatia,HRV,2008,62.71588516,26670.2207,4393666,Cyprus,CYP,2011,80.93172455,37481.8125,1145090,Croatia,HRV,2014,67.01759338,24072.43945,4283968,Croatia,HRV,2017,75.19274902,27154.08398,4192468,Croatia,HRV,2019,85.32384491,29336.08594,4129749
Finland,FIN,1990,62.86377716,32939.38281,4986551,Ecuador,ECU,1993,27.60044098,8406.557617,11132833,Dominica,DMA,1996,64.7611084,8665.722656,69182,Denmark,DNK,1999,68.00457001,47298.53906,5319856,Cyprus,CYP,2002,88.09254456,34738.94141,982202,Cyprus,CYP,2005,84.5372543,37722.4219,1037070,Cyprus,CYP,2008,79.662117,40397.70313,1092402,Czechia,CZE,2011,80.68829346,34002.19141,10496379,Cyprus,CYP,2014,75.90042877,33136.48047,1176997,Cyprus,CYP,2017,76.89052582,38287.96875,1208527,Cyprus,CYP,2019,76.46717072,41521.92188,1228840
France,FRA,1990,99.02204895,33732.01563,56412896,Egypt,EGY,1993,15.87670135,6203.068359,61382204,Dominican Republic,DOM,1996,37.03834915,7707.39502,8012315,Dominica,DMA,1999,48.84000778,9367.805664,68713,Czechia,CZE,2002,77.84835815,26289.62695,10238170,Czechia,CZE,2005,87.7769394,30384.4473,10280122,Czechia,CZE,2008,84.46237946,34580.44141,10378586,Democratic Republic of Congo,COD,2011,3.789991617,894.8265381,68654272,Czechia,CZE,2014,74.18927765,34386.70313,10517178,Czechia,CZE,2017,80.42975616,38824.88672,10531315,Czechia,CZE,2019,79.88840485,40981.05469,10536876
Gabon,GAB,1990,47.31544113,18179.16992,983039,El Salvador,SLV,1993,15.33179474,5833.524902,5630994,Ecuador,ECU,1996,36.14287567,8539.337891,11775223,Dominican Republic,DOM,1999,38.08489609,9043.597656,8411380,Denmark,DNK,2002,83.51092529,49204.89844,5378700,Denmark,DNK,2005,92.4568405,51483.2734,5436314,Denmark,DNK,2008,78.39530945,52982.53125,5502752,Denmark,DNK,2011,72.6802597,51293.20703,5576016,Democratic Republic of Congo,COD,2014,3.939976215,1029.790771,76035592,Democratic Republic of Congo,COD,2017,3.720010519,1059.810791,84283272,Democratic Republic of Congo,COD,2019,3.790018797,1097.948853,89906896
Gambia,GMB,1990,7.782449245,2265.233398,1040625,Eswatini,SWZ,1993,28.26904488,5115.216309,953454,Egypt,EGY,1996,18.10926819,6671.089355,65565196,Ecuador,ECU,1999,35.40307617,8243.411133,12412056,Dominica,DMA,2002,67.72480011,9308.364258,68281,Dominica,DMA,2005,68.6360169,10160.9941,68686,Dominica,DMA,2008,66.02902985,12072.84766,68794,Dominica,DMA,2011,62.94801712,11971.02051,68758,Denmark,DNK,2014,69.74755096,52048.33594,5650654,Denmark,DNK,2017,76.86628723,55356.67969,5737286,Denmark,DNK,2019,76.97164154,57161.6875,5795879
Germany,DEU,1990,95.99919891,36699.48047,79370192,Ethiopia,ETH,1993,7.348599911,661.312439,53791672,El Salvador,SLV,1996,16.45163155,6222.214844,5797142,Egypt,EGY,1999,21.17365837,7422.835449,69907888,Dominican Republic,DOM,2002,37.33765793,9690.598633,8795104,Dominican Republic,DOM,2005,50.3954926,10291.3037,9164770,Dominican Republic,DOM,2008,54.27502823,11980.83984,9522954,Dominican Republic,DOM,2011,50.40887451,13024.32813,9903743,Djibouti,DJI,2014,16.03522682,4238.944336,989091,Djibouti,DJI,2017,15.61834526,4885.205078,1040242,Djibouti,DJI,2019,15.69713879,5534.766113,1073999
