Entity_04,Code_04,Year_04,Meat_04,GDP_04,Population_04,Entity_10,Code_10,Year_10,Meat_10,GDP_10,Population_10,Entity_16,Code_16,Year_16,Meat_16,GDP_16,Population_16
Belgium,BEL,2004,78.18707275,45540.46875,10456164,Belgium,BEL,2010,68.81424713,47972.55859,10877948,Belgium,BEL,2016,68.07756042,49829.92578,11316837
Belize,BLZ,2004,49.06768417,7413.879395,272141,Belize,BLZ,2010,43.67692947,7294.663086,322115,Belize,BLZ,2016,41.3251915,7206.952637,367327
Benin,BEN,2004,14.57831478,2614.212402,7894558,Benin,BEN,2010,23.51935196,2704.705566,9445716,Benin,BEN,2016,21.3698597,2961.44043,11260091
Bolivia,BOL,2004,50.76728058,5605.20166,9216282,Bolivia,BOL,2010,69.82279968,6612.803223,10223277,Bolivia,BOL,2016,78.0512619,8202.543945,11263016
Bosnia and Herzegovina,BIH,2004,19.41334534,9002.915039,4142858,Bosnia and Herzegovina,BIH,2010,28.71629524,10938.28906,3811093,Bosnia and Herzegovina,BIH,2016,40.94681931,13194.33105,3480985
Botswana,BWA,2004,27.47513008,11305.57324,1859087,Botswana,BWA,2010,26.98855972,13126.21484,2091666,Botswana,BWA,2016,25.11087227,15654.68164,2352419
Brazil,BRA,2004,81.21155548,12316.37402,184722048,Brazil,BRA,2010,89.34015656,14873.20801,196353504,Brazil,BRA,2016,96.76997375,14451.15332,206859584
Bulgaria,BGR,2004,50.64241791,13701.50098,7865314,Bulgaria,BGR,2010,55.87991714,18160.60742,7592271,Bulgaria,BGR,2016,56.7904129,20740.79492,7245982
Burkina Faso,BFA,2004,16.93444824,1447.503662,13445981,Burkina Faso,BFA,2010,16.79977226,1716.358276,16116851,Burkina Faso,BFA,2016,13.22975159,1981.42981,19275504
Cambodia,KHM,2004,16.10105324,1902.09668,13016377,Cambodia,KHM,2010,14.35979366,2716.699707,14363534,Cambodia,KHM,2016,13.04975986,3728.099609,15624586
Cameroon,CMR,2004,17.10220718,3160.892578,16809406,Cameroon,CMR,2010,14.06983662,3223.51001,19878044,Cameroon,CMR,2016,13.53025532,3634.381104,23711626
Canada,CAN,2004,100.0187302,40426.23047,31911670,Canada,CAN,2010,90.12113953,44861.52344,33963416,Canada,CAN,2016,88.70014191,47457.58594,36113532
Cape Verde,CPV,2004,31.30802727,4709.037109,486591,Cape Verde,CPV,2010,34.32478714,6200.34375,521219,Cape Verde,CPV,2016,30.78188515,6482.72168,558399
Central African Republic,CAF,2004,32.54929352,1037.844727,4115146,Central African Republic,CAF,2010,33.68180466,1201.352173,4660066,Central African Republic,CAF,2016,37.7026329,884.4951782,4904182
Chad,TCD,2004,12.91676807,1430.368286,9613509,Chad,TCD,2010,36.31959152,1732.691528,11894734,Chad,TCD,2016,41.8609848,1687.053589,14592587
Chile,CHL,2004,69.83094025,17807.16992,16017966,Chile,CHL,2010,75.78207397,21262.4668,17004166,Chile,CHL,2016,87.81964874,24531.35742,18083880
China,CHN,2004,46.29238892,4817.211914,1296816768,China,CHN,2010,57.18001556,8884.587891,1348191360,China,CHN,2016,61.13998032,13399.1377,1401889664
Colombia,COL,2004,37.36719131,9716.499023,41648272,Colombia,COL,2010,46.00030518,11783.2998,44816104,Colombia,COL,2016,57.31994247,14194.51563,47625960
Congo,COG,2004,20.02314758,4438.977539,3543018,Congo,COG,2010,19.33118439,5169.16748,4437883,Congo,COG,2016,31.87002563,4544.075684,5186830
Costa Rica,CRI,2004,41.83537292,13802.72852,4252803,Costa Rica,CRI,2010,51.31584167,16830.43555,4622250,Costa Rica,CRI,2016,49.45660782,19736.66602,4945205
Cote d'Ivoire,CIV,2004,13.48967838,3545.085693,18544900,Cote d'Ivoire,CIV,2010,11.94003201,3778.208496,21120040,Cote d'Ivoire,CIV,2016,11.00012684,4615.709473,24213620
Croatia,HRV,2004,49.36087418,22818.54102,4443351,Croatia,HRV,2010,60.24661636,24500.06836,4368680,Croatia,HRV,2016,69.94646454,25944.25781,4223748
Cyprus,CYP,2004,81.30735016,36498.35156,1018688,Cyprus,CYP,2010,82.35834503,38296.69922,1129693,Cyprus,CYP,2016,74.83790588,36509.07031,1197889
Czechia,CZE,2004,86.88237762,28542.25391,10261003,Czechia,CZE,2010,82.91737366,33483.13672,10464750,Czechia,CZE,2016,78.73097992,37014.96094,10527584
Denmark,DNK,2004,72.1798172,50446.54297,5415583,Denmark,DNK,2010,76.24207306,50825.41406,5550850,Denmark,DNK,2016,78.01526642,54185.00781,5706856
Dominica,DMA,2004,70.84830475,10122.46582,68591,Dominica,DMA,2010,64.38153076,12003.76563,68775,Dominica,DMA,2016,63.03742981,12154.75098,70098
Dominican Republic,DOM,2004,40.64667892,9533.319336,9043135,Dominican Republic,DOM,2010,48.08942032,12782.45703,9775756,Dominican Republic,DOM,2016,54.50137329,16166.61133,10527589
Ecuador,ECU,2004,44.33914185,9178.417969,13534598,Ecuador,ECU,2010,53.71959305,10340.9707,14989581,Ecuador,ECU,2016,49.37965775,11551.61621,16439588
Egypt,EGY,2004,20.68086243,8184.065918,77522424,Egypt,EGY,2010,25.46992493,10340.07324,87252416,Egypt,EGY,2016,27.28997993,10795.80859,99784032
El Salvador,SLV,2004,25.43012238,6749.98291,6035653,El Salvador,SLV,2010,28.72057152,7328.79834,6114039,El Salvador,SLV,2016,32.91928864,8309.900391,6250513
Estonia,EST,2004,58.02474594,23691.15234,1362489,Estonia,EST,2010,71.00065613,26015.74609,1331535,Estonia,EST,2016,67.40522766,32008.93359,1315928
Eswatini,SWZ,2004,50.55223465,6206.091797,1065776,Eswatini,SWZ,2010,28.13419914,7459.228027,1099926,Eswatini,SWZ,2016,28.44015312,8321.024414,1142529
Ethiopia,ETH,2004,7.741864681,793.09375,75301024,Ethiopia,ETH,2010,8.420003891,1259.022583,89237800,Ethiopia,ETH,2016,7.259967804,1894.897339,105293232
Fiji,FJI,2004,44.57182312,10630.48438,866699,Fiji,FJI,2010,31.05664444,10547.91016,905176,Fiji,FJI,2016,40.15130234,12820.75684,918371
Finland,FIN,2004,71.07727814,43724.96484,5228143,Finland,FIN,2010,75.29302979,45874.66016,5363279,Finland,FIN,2016,74.17385864,46206.78906,5495217
France,FRA,2004,91.60805511,41272.63281,60108436,France,FRA,2010,90.59355164,42147.67188,62444568,France,FRA,2016,82.12120819,43705.14844,63989320
Gabon,GAB,2004,55.42071533,15767.17969,1417115,Gabon,GAB,2010,57.65481567,14415.44629,1711117,Gabon,GAB,2016,60.28354263,15359.74023,2086210
Gambia,GMB,2004,9.413173676,2341.173096,1612237,Gambia,GMB,2010,7.459172249,2346.720459,1937284,Gambia,GMB,2016,12.50922012,2036.877197,2317212
Georgia,GEO,2004,31.75385666,6632.814453,3988861,Georgia,GEO,2010,27.77935028,9736.732422,3836834,Georgia,GEO,2016,30.66650963,12963.74414,3771112
Germany,DEU,2004,84.8795929,43605.27734,81266672,Germany,DEU,2010,89.47023773,46999.23828,81325088,Germany,DEU,2016,81.81021881,51879.67188,82331432
Ghana,GHA,2004,11.73427105,3071.805664,21906448,Ghana,GHA,2010,11.98018646,3828.419434,25574722,Ghana,GHA,2016,11.94002151,4837.538086,29554298
Greece,GRC,2004,76.19900513,34565.0625,11115089,Greece,GRC,2010,81.74610138,33693.21094,11033784,Greece,GRC,2016,67.82883453,28239.91992,10749742
Grenada,GRD,2004,57.14325333,12614.82422,109529,Grenada,GRD,2010,52.96657181,13412.79297,114058,Grenada,GRD,2016,55.42747879,15614.29785,119973
Guatemala,GTM,2004,25.58278084,6676.70459,12852433,Guatemala,GTM,2010,33.40904236,7335.98877,14543126,Guatemala,GTM,2016,36.61982727,8206.047852,16291004
Guinea,GIN,2004,7.387788773,1778.051636,8961046,Guinea,GIN,2010,10.13983345,1870.800049,10270728,Guinea,GIN,2016,12.02955532,2253.477783,11930991
Guinea-Bissau,GNB,2004,15.50389385,1647.578003,1347012,Guinea-Bissau,GNB,2010,16.85439301,1747.237427,1567226,Guinea-Bissau,GNB,2016,17.17581749,1864.263062,1834554
Guyana,GUY,2004,38.51301193,8128.424805,760428,Guyana,GUY,2010,37.21863556,9788.848633,747937,Guyana,GUY,2016,44.93884277,11631.05664,759097
Haiti,HTI,2004,13.48244667,2832.076172,8961495,Haiti,HTI,2010,15.29951096,2900.909668,9842883,Haiti,HTI,2016,19.01004219,3116.488037,10713845
Honduras,HND,2004,29.89671898,4390.473145,7383408,Honduras,HND,2010,28.9483757,4866.974121,8450936,Honduras,HND,2016,33.51074219,5395.614746,9460798
Hong Kong,HKG,2004,129.5124817,40862.67188,6915997,Hong Kong,HKG,2010,125.9241409,51360.96875,7132437,Hong Kong,HKG,2016,122.6377716,58096.30078,7435925
Hungary,HUN,2004,90.37142944,23367.60742,10094499,Hungary,HUN,2010,71.31391907,24486.04102,9986832,Hungary,HUN,2016,77.7102356,28218.2793,9815106
Iceland,ISL,2004,84.66847229,46051.74219,292364,Iceland,ISL,2010,80.52394104,47457.62109,318346,Iceland,ISL,2016,87.13514709,54665.76563,335677
India,IND,2004,4.10970211,3054.918945,1136264576,India,IND,2010,4.149999619,4234.979492,1240613632,India,IND,2016,4.669999123,5851.39502,1338636288
Indonesia,IDN,2004,10.42616367,6423.720703,225938592,Indonesia,IDN,2010,10.62999058,8286.732422,244016176,Indonesia,IDN,2016,12.26998234,10531.11133,261850176
Iran,IRN,2004,29.25484276,11764.09668,69061680,Iran,IRN,2010,35.79023743,13805.7041,75373864,Iran,IRN,2016,40.1400032,14205.21191,83306232
Iraq,IRQ,2004,5.737469196,7458.340332,27858950,Iraq,IRQ,2010,15.10427952,8597.064453,31264880,Iraq,IRQ,2016,12.21406078,10997.38672,38697940
Ireland,IRL,2004,102.5695877,55040.82031,4031961,Ireland,IRL,2010,79.81777191,52965.78906,4524581,Ireland,IRL,2016,79.91357422,72150.03906,4715791
Israel,ISR,2004,102.0175705,29328.70508,6595990,Israel,ISR,2010,95.68419647,33864.23047,7328439,Israel,ISR,2016,98.30019379,38214.48438,8159015
Italy,ITA,2004,86.11081696,44118.03516,57860664,Italy,ITA,2010,90.78609467,42664.35547,59822452,Italy,ITA,2016,74.51991272,40837.73828,60118628
Jamaica,JAM,2004,61.43991089,9884.235352,2664027,Jamaica,JAM,2010,60.20005798,9435.760742,2733904,Jamaica,JAM,2016,59.2550621,9553.09668,2802699
Japan,JPN,2004,43.8054657,37576.39063,127671288,Japan,JPN,2010,45.59987259,38069.95703,128105432,Japan,JPN,2016,47.22990036,40754.10156,126993856
Jordan,JOR,2004,37.79597092,10105.46094,5532426,Jordan,JOR,2010,39.97252655,11315.50293,6931263,Jordan,JOR,2016,36.90889359,10036.54395,9964659
Kazakhstan,KAZ,2004,50.67651749,15208.44043,15521921,Kazakhstan,KAZ,2010,62.06895828,20751.25781,16627839,Kazakhstan,KAZ,2016,63.56035233,24210.86328,18078558
Kenya,KEN,2004,14.21347427,3229.22168,34791836,Kenya,KEN,2010,16.10012054,3691.012939,41517896,Kenya,KEN,2016,15.6701498,4145.640625,47894668
Kiribati,KIR,2004,36.6235733,2089.88208,96239,Kiribati,KIR,2010,25.41727257,1923.113892,108011,Kiribati,KIR,2016,30.03519058,2247.971191,118529
Kuwait,KWT,2004,103.6876221,68233.86719,2153485,Kuwait,KWT,2010,92.30358124,58810.40625,2943364,Kuwait,KWT,2016,68.14237213,54708.98047,4048090
Kyrgyzstan,KGZ,2004,35.83723068,3563.875244,5137043,Kyrgyzstan,KGZ,2010,40.55777359,4141.077148,5483781,Kyrgyzstan,KGZ,2016,31.8582859,4912.382324,6018303
Laos,LAO,2004,17.07022858,3399.349854,5768170,Laos,LAO,2010,20.00946236,4850.175293,6323425,Laos,LAO,2016,25.6805706,6896.127441,6891366
Latvia,LVA,2004,54.9904747,18169.18359,2263453,Latvia,LVA,2010,64.15536499,21176.2793,2101537,Latvia,LVA,2016,65.66118622,27509.17383,1973477
Lebanon,LBN,2004,42.83837128,14284.13965,4574799,Lebanon,LBN,2010,38.66949844,19499.41406,4995799,Lebanon,LBN,2016,29.8987484,16167.7334,6258628
Lesotho,LSO,2004,17.00442696,1894.320313,1985386,Lesotho,LSO,2010,20.95446205,2346.713379,2022752,Lesotho,LSO,2016,28.46943665,2776.740967,2143876
Liberia,LBR,2004,11.02074718,1219.414063,3122448,Liberia,LBR,2010,11.91890621,1465.559326,4019958,Liberia,LBR,2016,20.21093369,1565.137329,4706106
Lithuania,LTU,2004,69.79209137,19226.46875,3422593,Lithuania,LTU,2010,72.35346222,23942.75977,3139021,Lithuania,LTU,2016,78.6421051,31925.80273,2933676
Madagascar,MDG,2004,12.69142628,1533.699341,18250776,Madagascar,MDG,2010,14.55024815,1553.405029,21731052,Madagascar,MDG,2016,13.80979538,1565.867676,25501944
Malawi,MWI,2004,5.098369122,1100.11438,12411343,Malawi,MWI,2010,7.760209084,1374.571289,14718426,Malawi,MWI,2016,19.53971291,1453.777344,17405624
Malaysia,MYS,2004,50.16482162,17538.48633,25333250,Malaysia,MYS,2010,54.79994583,20536.37305,28717728,Malaysia,MYS,2016,53.58060837,25541.77148,31526414
Maldives,MDV,2004,18.99584007,14901.40039,302142,Maldives,MDV,2010,18.54368019,16305.16211,361579,Maldives,MDV,2016,20.30111122,17583.58789,454263
Mali,MLI,2004,19.05898094,1899.082031,12751997,Mali,MLI,2010,23.21945572,2082.961914,15529183,Mali,MLI,2016,23.91940308,2198.560303,18700108
Malta,MLT,2004,85.35388184,28223.38281,408805,Malta,MLT,2010,77.61184692,32867.96094,418758,Malta,MLT,2016,76.69258118,40536.74609,467717
Mauritania,MRT,2004,32.93802261,4307.255859,2946583,Mauritania,MRT,2010,31.54819298,4671.642578,3419462,Mauritania,MRT,2016,31.69356346,4944.568848,4051896
Mauritius,MUS,2004,43.45035553,13413.99316,1250388,Mauritius,MUS,2010,48.6918335,16797.81641,1283347,Mauritius,MUS,2016,51.82533646,20646.93359,1293909
Mexico,MEX,2004,59.67531586,17635.24609,103945816,Mexico,MEX,2010,65.96002197,17790.01172,112532400,Mexico,MEX,2016,66.15979767,19539.26172,121519224
Moldova,MDA,2004,26.72644424,6710.469238,4046998,Moldova,MDA,2010,31.25931168,8550.170898,3678186,Moldova,MDA,2016,35.83988571,10942.55078,3225125
Mongolia,MNG,2004,73.96833038,5544.780762,2537955,Mongolia,MNG,2010,67.72244263,7470.780762,2702527,Mongolia,MNG,2016,86.849823,10961.96777,3029559
Morocco,MAR,2004,21.92961884,5120.54834,30033124,Morocco,MAR,2010,32.50961304,6281.123535,32464866,Morocco,MAR,2016,34.29973221,7105.855957,35107272
Mozambique,MOZ,2004,9.320995331,792.7272949,19694412,Mozambique,MOZ,2010,7.160131931,1027.208862,23073732,Mozambique,MOZ,2016,8.790021896,1273.783691,27696500
Myanmar,MMR,2004,18.47546005,1473.020996,47338444,Myanmar,MMR,2010,37.72013092,2762.613525,49390988,Myanmar,MMR,2016,56.23978806,4020.24292,51892352
Namibia,NAM,2004,35.24631882,7942.557129,1939405,Namibia,NAM,2010,30.60177612,9031.160156,2099275,Namibia,NAM,2016,29.04945755,10471.2793,2323351
Nepal,NPL,2004,10.11808586,2234.154785,26003970,Nepal,NPL,2010,11.05991554,2703.414795,27161572,Nepal,NPL,2016,13.40978813,3315.814453,27861186
Netherlands,NLD,2004,78.17105103,48586.70313,16196036,Netherlands,NLD,2010,73.62898254,52032.98828,16617121,Netherlands,NLD,2016,69.46883392,53847.82813,17124512
New Zealand,NZL,2004,109.1219864,36504.19922,4081415,New Zealand,NZL,2010,91.23874664,37657.14453,4346345,New Zealand,NZL,2016,100.4942856,41672.10156,4668088
Nicaragua,NIC,2004,19.69705582,4200.214844,5386220,Nicaragua,NIC,2010,23.36976814,4611.785156,5855736,Nicaragua,NIC,2016,27.8901329,5811.805176,6389237
Niger,NER,2004,22.35659981,929.2172241,13366889,Niger,NER,2010,9.56998539,1036.160767,16647545,Niger,NER,2016,8.840089798,1151.17627,20921748
Nigeria,NGA,2004,9.205933571,3854.008057,136756848,Nigeria,NGA,2010,8.809988976,4932.334961,160952864,Nigeria,NGA,2016,7.839989185,5284.893066,188666928
North America,,2004,97.42201996,51765.92578,509273976,North America,,2010,94.4733963,53386.15625,543052879,North America,,2016,94.37705994,57944.19922,576008328
North Macedonia,MKD,2004,39.6909523,10730.50684,2075879,North Macedonia,MKD,2010,34.70618439,13514.98145,2093828,North Macedonia,MKD,2016,35.31431198,15553.43945,2110194
Norway,NOR,2004,64.29692078,60699.56641,4592284,Norway,NOR,2010,71.15177917,61353.47656,4889747,Norway,NOR,2016,68.47064972,63104.08203,5236591
Oman,OMN,2004,47.96969604,36515.75391,2468860,Oman,OMN,2010,51.08269119,38678.96484,2881915,Oman,OMN,2016,42.6979332,34591.71484,4398080
Pakistan,PAK,2004,12.07221889,3560.811768,170648624,Pakistan,PAK,2010,15.28003025,3906.874023,194454496,Pakistan,PAK,2016,16.61997223,4421.582031,213524848
Panama,PAN,2004,53.43427658,15491.00098,3243310,Panama,PAN,2010,60.13510132,21343.33398,3623622,Panama,PAN,2016,65.85881042,29332.37695,4026338
Paraguay,PRY,2004,52.55651855,8528.038086,5416327,Paraguay,PRY,2010,23.72993469,10415.65625,5768618,Paraguay,PRY,2016,31.46056557,12170.78418,6266623
Peru,PER,2004,17.25136185,7136.351563,27893914,Peru,PER,2010,38.02042007,10066.46777,29229576,Peru,PER,2016,47.84994125,12403.6875,31132776
Philippines,PHL,2004,30.08869934,4908.058594,84607504,Philippines,PHL,2010,34.76007843,5918.373047,94636704,Philippines,PHL,2016,36.50006485,7705.053711,104875272
Poland,POL,2004,72.81747437,18287.82813,38596040,Poland,POL,2010,82.62046814,23996.14063,38597356,Poland,POL,2016,88.54949188,28682.69336,38532108
Portugal,PRT,2004,84.21685791,30892.82031,10501523,Portugal,PRT,2010,96.7594986,31798.1543,10588401,Portugal,PRT,2016,89.61399078,31847.53711,10332751
Romania,ROU,2004,54.69186401,15924.04102,21289292,Romania,ROU,2010,61.67936325,20303.14844,20335212,Romania,ROU,2016,68.22904205,25144.99609,19797820
Russia,RUS,2004,50.08687592,18765.51953,144353648,Russia,RUS,2010,64.54235077,23961.2207,143242592,Russia,RUS,2016,73.3298111,25490.70898,145109152
Rwanda,RWA,2004,5.874022007,1069.297852,8791855,Rwanda,RWA,2010,8.339719772,1507.165039,10309032,Rwanda,RWA,2016,9.770143509,1950.526245,11930902
Saint Kitts and Nevis,KNA,2004,87.40366364,20403.6543,46602,Saint Kitts and Nevis,KNA,2010,84.69098663,22223.91406,47429,Saint Kitts and Nevis,KNA,2016,85.33885956,26953.0625,47814
Saint Lucia,LCA,2004,99.96304321,13648.58496,164252,Saint Lucia,LCA,2010,85.51478577,14137.58984,170950,Saint Lucia,LCA,2016,94.35532379,14497.5957,176429
Saint Vincent and the Grenadines,VCT,2004,84.17066193,10416.94238,112621,Saint Vincent and the Grenadines,VCT,2010,94.86162567,11447.61719,109324,Saint Vincent and the Grenadines,VCT,2016,93.21064758,12163.67578,105971
Samoa,WSM,2004,72.00209808,5736.208984,188083,Samoa,WSM,2010,101.0604248,6010.083984,194686,Samoa,WSM,2016,97.89092255,6449.82959,205559
Sao Tome and Principe,STP,2004,12.27754116,2761.949219,157714,Sao Tome and Principe,STP,2010,17.69343376,3357.470215,182154,Sao Tome and Principe,STP,2016,15.43319798,3878.829834,204640
Saudi Arabia,SAU,2004,48.91941071,43210.25,23661804,Saudi Arabia,SAU,2010,57.76358795,44036.76563,29411930,Saudi Arabia,SAU,2016,55.22924423,48625.84375,33416272
Senegal,SEN,2004,12.63186932,2712.877441,10698699,Senegal,SEN,2010,16.02981949,2797.110107,12530128,Senegal,SEN,2016,16.09052086,3067.665527,14751356
Sierra Leone,SLE,2004,4.480004311,1231.160522,5533329,Sierra Leone,SLE,2010,7.200408459,1406.175415,6436699,Sierra Leone,SLE,2016,7.930166245,1602.133057,7493918
Slovakia,SVK,2004,61.85941696,18834.39063,5374932,Slovakia,SVK,2010,56.36694336,25528.74609,5396428,Slovakia,SVK,2016,56.63998795,29236.92188,5431205
Slovenia,SVN,2004,89.44403839,30041.81445,1996731,Slovenia,SVN,2010,86.14725494,33350.61328,2057294,Slovenia,SVN,2016,72.96279144,34853.04297,2090020
Solomon Islands,SLB,2004,9.159021378,2061.388916,471796,Solomon Islands,SLB,2010,11.86312294,2439.862305,540402,Solomon Islands,SLB,2016,12.18138027,2596.545898,628110
South Africa,ZAF,2004,43.6801033,12027.08105,48556064,South Africa,ZAF,2010,59.0900383,13618.72559,51784928,South Africa,ZAF,2016,63.93040085,13897.13965,56422272
South Korea,KOR,2004,43.52599716,27515.95117,47727288,South Korea,KOR,2010,57.17041779,34394.49219,48813036,South Korea,KOR,2016,71.64937592,39814.66016,51309984
Spain,ESP,2004,106.902359,37249.77344,42959672,Spain,ESP,2010,94.2021637,37319.47656,46572776,Spain,ESP,2016,97.58972168,38477.57813,46473320
Sri Lanka,LKA,2004,6.831430435,6589.463379,19490434,Sri Lanka,LKA,2010,6.76008749,9126.865234,20668556,Sri Lanka,LKA,2016,10.06991482,12287.47266,21425494
Suriname,SUR,2004,39.02617264,15401.51855,510588,Suriname,SUR,2010,50.44798279,18840.36914,546085,Suriname,SUR,2016,44.78927231,18180.60352,581462
Sweden,SWE,2004,76.99724579,44354.39063,9004263,Sweden,SWE,2010,80.02042389,47791.37109,9381722,Sweden,SWE,2016,75.22998047,51334.43359,9953322
Switzerland,CHE,2004,72.54008484,60271.93359,7381153,Switzerland,CHE,2010,73.85054779,65819.73438,7822444,Switzerland,CHE,2016,67.08068085,68663.24219,8372902
Tajikistan,TJK,2004,9.082192421,1837.651123,6801206,Tajikistan,TJK,2010,12.5893364,2390.022217,7621785,Tajikistan,TJK,2016,21.05103111,3113.254639,8725326
Tanzania,TZA,2004,8.638116837,1645.839966,38360884,Tanzania,TZA,2010,9.070095062,2006.971313,45110532,Tanzania,TZA,2016,10.81995201,2441.636963,54401804
Thailand,THA,2004,26.55741501,11886.32422,65311164,Thailand,THA,2010,27.88998604,14399.04492,68270488,Thailand,THA,2016,27.80987358,16782.09961,70607032
Timor,TLS,2004,39.75898361,2258.384277,945993,Timor,TLS,2010,33.46477509,2931.431641,1088492,Timor,TLS,2016,31.78246689,3342.608887,1224568
Togo,TGO,2004,9.220819473,1694.145874,5565213,Togo,TGO,2010,12.40062904,1625.54541,6571862,Togo,TGO,2016,13.09008408,1976.807739,7661361
Trinidad and Tobago,TTO,2004,57.81484604,23110.75195,1361180,Trinidad and Tobago,TTO,2010,75.68179321,28879.28711,1410297,Trinidad and Tobago,TTO,2016,76.13414764,27281.85742,1469334
Tunisia,TUN,2004,25.91388702,8860.726563,10292230,Tunisia,TUN,2010,26.71938324,10789.6123,10895063,Tunisia,TUN,2016,28.24014473,11113.77441,11685666
Turkey,TUR,2004,23.14290047,16968.87305,67785080,Turkey,TUR,2010,32.10000229,20027.66602,73195352,Turkey,TUR,2016,37.47006607,26385.00195,81019400
Turkmenistan,TKM,2004,44.85891342,5034.248047,4819793,Turkmenistan,TKM,2010,50.07792282,8616.889648,5267975,Turkmenistan,TKM,2016,56.00632858,13562.52832,5868568
Uganda,UGA,2004,12.77509975,1446.150879,27146082,Uganda,UGA,2010,12.09993935,1873.513794,32341724,Uganda,UGA,2016,11.0999527,2088.647461,38748308
Ukraine,UKR,2004,38.93076706,10902.03809,47261960,Ukraine,UKR,2010,49.87990952,12221.44043,45683024,Ukraine,UKR,2016,48.30031586,11536.31641,44833568
United Arab Emirates,ARE,2004,66.51456451,97757.85156,3993346,United Arab Emirates,ARE,2010,30.98997116,54921.79688,8481775,United Arab Emirates,ARE,2016,42.54002762,66510.89063,8994266
United Kingdom,GBR,2004,85.42836761,41997.60547,59995852,United Kingdom,GBR,2010,75.48704529,42147.76563,62760048,United Kingdom,GBR,2016,81.2600708,45712.78516,65655204
United States,USA,2004,127.1074219,52994.55078,293947872,United States,USA,2010,120.0540161,54315.91406,311182848,United States,USA,2016,119.7300034,59112.24219,327210208
Uruguay,URY,2004,62.31713104,13593.73242,3313804,Uruguay,URY,2010,66.41460419,19293.74023,3352653,Uruguay,URY,2016,52.63786316,22724.02148,3413768
Uzbekistan,UZB,2004,23.74955368,3430.628662,26234924,Uzbekistan,UZB,2010,32.81010818,4953.961426,28614234,Uzbekistan,UZB,2016,36.71028519,6663.949707,31453576
Vanuatu,VUT,2004,32.3704834,2761.115967,212431,Vanuatu,VUT,2010,37.47570038,3088.97876,245464,Vanuatu,VUT,2016,38.58475494,2973.467529,283239
Vietnam,VNM,2004,32.14568329,3689.732422,82311232,Vietnam,VNM,2010,51.85020065,5089.411133,87411016,Vietnam,VNM,2016,50.63976288,6767.778809,93126528
World,OWID_WRL,2004,37.61062241,12079.05566,6475751424,World,OWID_WRL,2010,41.01727676,13892.33301,6985603072,World,OWID_WRL,2016,41.94928741,15803.52832,7513474048
Zambia,ZMB,2004,12.79974365,2261.766846,11188044,Zambia,ZMB,2010,19.57002068,3125.528809,13792095,Zambia,ZMB,2016,19.13947487,3467.887451,16767758
Zimbabwe,ZWE,2004,18.4799614,3109.347412,12160885,Zimbabwe,ZWE,2010,21.24045563,2849.079346,12839774,Zimbabwe,ZWE,2016,18.51955414,3678.217041,14452705
