Entity_92,Code_92,Year_92,Meat_92,GDP_92,Population_92,Entity_98,Code_98,Year_98,Meat_98,GDP_98,Population_98,Entity_04,Code_04,Year_04,Meat_04,GDP_04,Population_04,Entity_10,Code_10,Year_10,Meat_10,GDP_10,Population_10,Entity_16,Code_16,Year_16,Meat_16,GDP_16,Population_16
Dominica,DMA,1992,64.61315918,8026.022949,69135,Dominica,DMA,1998,52.61245728,9287.536133,68957,Dominica,DMA,2004,70.84830475,10122.46582,68591,Dominica,DMA,2010,64.38153076,12003.76563,68775,Dominica,DMA,2016,63.03742981,12154.75098,70098
Dominican Republic,DOM,1992,32.54834747,6706.026367,7427347,Dominican Republic,DOM,1998,41.42129898,8670.4375,8282125,Dominican Republic,DOM,2004,40.64667892,9533.319336,9043135,Dominican Republic,DOM,2010,48.08942032,12782.45703,9775756,Dominican Republic,DOM,2016,54.50137329,16166.61133,10527589
Ecuador,ECU,1992,26.99905396,8432.619141,10914222,Ecuador,ECU,1998,31.95484352,8826.386719,12199692,Ecuador,ECU,2004,44.33914185,9178.417969,13534598,Ecuador,ECU,2010,53.71959305,10340.9707,14989581,Ecuador,ECU,2016,49.37965775,11551.61621,16439588
Egypt,EGY,1992,15.90937424,6152.929199,59989148,Egypt,EGY,1998,20.81269836,7138.212402,68446008,Egypt,EGY,2004,20.68086243,8184.065918,77522424,Egypt,EGY,2010,25.46992493,10340.07324,87252416,Egypt,EGY,2016,27.28997993,10795.80859,99784032
El Salvador,SLV,1992,14.09208679,5588.246094,5552210,El Salvador,SLV,1998,17.45796394,6465.164063,5885085,El Salvador,SLV,2004,25.43012238,6749.98291,6035653,El Salvador,SLV,2010,28.72057152,7328.79834,6114039,El Salvador,SLV,2016,32.91928864,8309.900391,6250513
Eswatini,SWZ,1992,28.13035965,5079.630859,925170,Eswatini,SWZ,1998,30.05339241,5464.121094,1005162,Eswatini,SWZ,2004,50.55223465,6206.091797,1065776,Eswatini,SWZ,2010,28.13419914,7459.228027,1099926,Eswatini,SWZ,2016,28.44015312,8321.024414,1142529
Fiji,FJI,1992,43.5025177,8538.573242,786860,Fiji,FJI,1998,41.00361252,9075.108398,813964,Fiji,FJI,2004,44.57182312,10630.48438,866699,Fiji,FJI,2010,31.05664444,10547.91016,905176,Fiji,FJI,2016,40.15130234,12820.75684,918371
Finland,FIN,1992,60.63044739,29648.74414,5042120,Finland,FIN,1998,66.58481598,36293.39063,5153548,Finland,FIN,2004,71.07727814,43724.96484,5228143,Finland,FIN,2010,75.29302979,45874.66016,5363279,Finland,FIN,2016,74.17385864,46206.78906,5495217
France,FRA,1992,98.34894562,34268.54297,56864048,France,FRA,1998,102.2644272,37413.4375,58080344,France,FRA,2004,91.60805511,41272.63281,60108436,France,FRA,2010,90.59355164,42147.67188,62444568,France,FRA,2016,82.12120819,43705.14844,63989320
Gabon,GAB,1992,58.0224762,17704.52734,1037451,Gabon,GAB,1998,50.75686646,19465.24609,1209839,Gabon,GAB,2004,55.42071533,15767.17969,1417115,Gabon,GAB,2010,57.65481567,14415.44629,1711117,Gabon,GAB,2016,60.28354263,15359.74023,2086210
Gambia,GMB,1992,7.06761694,2245.61084,1127156,Gambia,GMB,1998,5.766336441,2152.681885,1356198,Gambia,GMB,2004,9.413173676,2341.173096,1612237,Gambia,GMB,2010,7.459172249,2346.720459,1937284,Gambia,GMB,2016,12.50922012,2036.877197,2317212
Georgia,GEO,1992,23.00102615,4769.996582,5239325,Georgia,GEO,1998,28.63815498,4511.48877,4518407,Georgia,GEO,2004,31.75385666,6632.814453,3988861,Georgia,GEO,2010,27.77935028,9736.732422,3836834,Georgia,GEO,2016,30.66650963,12963.74414,3771112
Germany,DEU,1992,88.79786682,38734.9375,80205024,Germany,DEU,1998,87.87832642,41022.61328,81524384,Germany,DEU,2004,84.8795929,43605.27734,81266672,Germany,DEU,2010,89.47023773,46999.23828,81325088,Germany,DEU,2016,81.81021881,51879.67188,82331432
Ghana,GHA,1992,11.95982075,2481.870117,16241548,Ghana,GHA,1998,9.397010803,2723.29541,18714708,Ghana,GHA,2004,11.73427105,3071.805664,21906448,Ghana,GHA,2010,11.98018646,3828.419434,25574722,Ghana,GHA,2016,11.94002151,4837.538086,29554298
Greece,GRC,1992,73.14370728,24700.23828,10478389,Greece,GRC,1998,75.28482819,27415.74414,10939474,Greece,GRC,2004,76.19900513,34565.0625,11115089,Greece,GRC,2010,81.74610138,33693.21094,11033784,Greece,GRC,2016,67.82883453,28239.91992,10749742
Grenada,GRD,1992,34.203228,8784.025391,101054,Grenada,GRD,1998,52.56755829,10440.33887,106214,Grenada,GRD,2004,57.14325333,12614.82422,109529,Grenada,GRD,2010,52.96657181,13412.79297,114058,Grenada,GRD,2016,55.42747879,15614.29785,119973
Guatemala,GTM,1992,14.71500778,5730.645996,9576630,Guatemala,GTM,1998,21.88421059,6338.337891,11184035,Guatemala,GTM,2004,25.58278084,6676.70459,12852433,Guatemala,GTM,2010,33.40904236,7335.98877,14543126,Guatemala,GTM,2016,36.61982727,8206.047852,16291004
Guinea,GIN,1992,4.923136234,1511.11377,6832196,Guinea,GIN,1998,6.07854414,1679.691895,7992557,Guinea,GIN,2004,7.387788773,1778.051636,8961046,Guinea,GIN,2010,10.13983345,1870.800049,10270728,Guinea,GIN,2016,12.02955532,2253.477783,11930991
Guinea-Bissau,GNB,1992,15.42671967,2025.793945,1022910,Guinea-Bissau,GNB,1998,15.65796852,1683.250244,1184074,Guinea-Bissau,GNB,2004,15.50389385,1647.578003,1347012,Guinea-Bissau,GNB,2010,16.85439301,1747.237427,1567226,Guinea-Bissau,GNB,2016,17.17581749,1864.263062,1834554
Guyana,GUY,1992,22.50332642,5495.842285,744999,Guyana,GUY,1998,29.21539307,7585.436523,756705,Guyana,GUY,2004,38.51301193,8128.424805,760428,Guyana,GUY,2010,37.21863556,9788.848633,747937,Guyana,GUY,2016,44.93884277,11631.05664,759097
Haiti,HTI,1992,8.623823166,3284.997559,7205779,Haiti,HTI,1998,12.60940361,2941.814941,8060901,Haiti,HTI,2004,13.48244667,2832.076172,8961495,Haiti,HTI,2010,15.29951096,2900.909668,9842883,Haiti,HTI,2016,19.01004219,3116.488037,10713845
Honduras,HND,1992,15.72671127,3866.115723,5344774,Honduras,HND,1998,20.87095451,4077.550293,6308539,Honduras,HND,2004,29.89671898,4390.473145,7383408,Honduras,HND,2010,28.9483757,4866.974121,8450936,Honduras,HND,2016,33.51074219,5395.614746,9460798
Hong Kong,HKG,1992,108.8114777,31803.28711,6007690,Hong Kong,HKG,1998,121.341362,33517.19141,6546051,Hong Kong,HKG,2004,129.5124817,40862.67188,6915997,Hong Kong,HKG,2010,125.9241409,51360.96875,7132437,Hong Kong,HKG,2016,122.6377716,58096.30078,7435925
Hungary,HUN,1992,106.5655746,15934.83105,10370067,Hungary,HUN,1998,80.87666321,17931.35742,10260965,Hungary,HUN,2004,90.37142944,23367.60742,10094499,Hungary,HUN,2010,71.31391907,24486.04102,9986832,Hungary,HUN,2016,77.7102356,28218.2793,9815106
India,IND,1992,4.204149246,1856.170532,907574080,India,IND,1998,4.013259888,2364.408691,1021434560,India,IND,2004,4.10970211,3054.918945,1136264576,India,IND,2010,4.149999619,4234.979492,1240613632,India,IND,2016,4.669999123,5851.39502,1338636288
Indonesia,IDN,1992,8.963176727,4986.783691,188558416,Indonesia,IDN,1998,8.387055397,5531.303223,207855488,Indonesia,IDN,2004,10.42616367,6423.720703,225938592,Indonesia,IDN,2010,10.62999058,8286.732422,244016176,Indonesia,IDN,2016,12.26998234,10531.11133,261850176
Iran,IRN,1992,21.92202187,9568.636719,59372016,Iran,IRN,1998,24.88888741,9669.400391,63461424,Iran,IRN,2004,29.25484276,11764.09668,69061680,Iran,IRN,2010,35.79023743,13805.7041,75373864,Iran,IRN,2016,40.1400032,14205.21191,83306232
Iraq,IRQ,1992,7.599106312,3407.577393,18385682,Iraq,IRQ,1998,4.666841507,7112.428711,23053490,Iraq,IRQ,2004,5.737469196,7458.340332,27858950,Iraq,IRQ,2010,15.10427952,8597.064453,31264880,Iraq,IRQ,2016,12.21406078,10997.38672,38697940
Ireland,IRL,1992,91.15192413,27500.37109,3528370,Ireland,IRL,1998,96.18765259,40684.89453,3678670,Ireland,IRL,2004,102.5695877,55040.82031,4031961,Ireland,IRL,2010,79.81777191,52965.78906,4524581,Ireland,IRL,2016,79.91357422,72150.03906,4715791
Italy,ITA,1992,86.13951111,37407.10938,56833184,Italy,ITA,1998,88.50696564,40844.74609,56938736,Italy,ITA,2004,86.11081696,44118.03516,57860664,Italy,ITA,2010,90.78609467,42664.35547,59822452,Italy,ITA,2016,74.51991272,40837.73828,60118628
Jamaica,JAM,1992,43.97270584,9030.713867,2434580,Jamaica,JAM,1998,52.97471619,9328.115234,2576569,Jamaica,JAM,2004,61.43991089,9884.235352,2664027,Jamaica,JAM,2010,60.20005798,9435.760742,2733904,Jamaica,JAM,2016,59.2550621,9553.09668,2802699
Japan,JPN,1992,39.13649368,34099.34375,124444696,Japan,JPN,1998,41.73351288,35588.625,126308392,Japan,JPN,2004,43.8054657,37576.39063,127671288,Japan,JPN,2010,45.59987259,38069.95703,128105432,Japan,JPN,2016,47.22990036,40754.10156,126993856
Jordan,JOR,1992,28.26775742,8253.895508,3866894,Jordan,JOR,1998,28.86896133,8403.646484,4844416,Jordan,JOR,2004,37.79597092,10105.46094,5532426,Jordan,JOR,2010,39.97252655,11315.50293,6931263,Jordan,JOR,2016,36.90889359,10036.54395,9964659
Kazakhstan,KAZ,1992,64.08164215,11294.73633,17043420,Kazakhstan,KAZ,1998,39.19377518,8998.901367,15474257,Kazakhstan,KAZ,2004,50.67651749,15208.44043,15521921,Kazakhstan,KAZ,2010,62.06895828,20751.25781,16627839,Kazakhstan,KAZ,2016,63.56035233,24210.86328,18078558
Kenya,KEN,1992,14.42346478,3364.755371,24655724,Kenya,KEN,1998,12.74465179,3274.127686,29137380,Kenya,KEN,2004,14.21347427,3229.22168,34791836,Kenya,KEN,2010,16.10012054,3691.012939,41517896,Kenya,KEN,2016,15.6701498,4145.640625,47894668
Kiribati,KIR,1992,20.15220642,2084.521484,77922,Kiribati,KIR,1998,26.82753372,2160.206543,85817,Kiribati,KIR,2004,36.6235733,2089.88208,96239,Kiribati,KIR,2010,25.41727257,1923.113892,108011,Kiribati,KIR,2016,30.03519058,2247.971191,118529
Kyrgyzstan,KGZ,1992,47.21001816,3978.909912,4501258,Kyrgyzstan,KGZ,1998,41.12739182,2893.41748,4810415,Kyrgyzstan,KGZ,2004,35.83723068,3563.875244,5137043,Kyrgyzstan,KGZ,2010,40.55777359,4141.077148,5483781,Kyrgyzstan,KGZ,2016,31.8582859,4912.382324,6018303
Laos,LAO,1992,11.16417694,2046.655518,4561117,Laos,LAO,1998,14.39610958,2608.043701,5246922,Laos,LAO,2004,17.07022858,3399.349854,5768170,Laos,LAO,2010,20.00946236,4850.175293,6323425,Laos,LAO,2016,25.6805706,6896.127441,6891366
Lebanon,LBN,1992,36.97063828,11976.33789,3745410,Lebanon,LBN,1998,41.87675476,14822.29688,4178786,Lebanon,LBN,2004,42.83837128,14284.13965,4574799,Lebanon,LBN,2010,38.66949844,19499.41406,4995799,Lebanon,LBN,2016,29.8987484,16167.7334,6258628
Lesotho,LSO,1992,17.73365021,1461.833374,1858515,Lesotho,LSO,1998,14.26570129,1643.321167,1985651,Lesotho,LSO,2004,17.00442696,1894.320313,1985386,Lesotho,LSO,2010,20.95446205,2346.713379,2022752,Lesotho,LSO,2016,28.46943665,2776.740967,2143876
Madagascar,MDG,1992,20.71692848,1656.344482,12623342,Madagascar,MDG,1998,18.077034,1571.629395,15250936,Madagascar,MDG,2004,12.69142628,1533.699341,18250776,Madagascar,MDG,2010,14.55024815,1553.405029,21731052,Madagascar,MDG,2016,13.80979538,1565.867676,25501944
Malawi,MWI,1992,4.785811901,931.9926147,10115423,Malawi,MWI,1998,5.222062111,1137.809937,10732462,Malawi,MWI,2004,5.098369122,1100.11438,12411343,Malawi,MWI,2010,7.760209084,1374.571289,14718426,Malawi,MWI,2016,19.53971291,1453.777344,17405624
Malaysia,MYS,1992,46.19672012,11663.62695,18526708,Malaysia,MYS,1998,50.1289711,14448.74121,21810542,Malaysia,MYS,2004,50.16482162,17538.48633,25333250,Malaysia,MYS,2010,54.79994583,20536.37305,28717728,Malaysia,MYS,2016,53.58060837,25541.77148,31526414
Mali,MLI,1992,15.95886707,1460.94812,9310571,Mali,MLI,1998,18.30743599,1628.014282,10620471,Mali,MLI,2004,19.05898094,1899.082031,12751997,Mali,MLI,2010,23.21945572,2082.961914,15529183,Mali,MLI,2016,23.91940308,2198.560303,18700108
Malta,MLT,1992,77.13610077,17262.04688,371892,Malta,MLT,1998,75.0246048,22201.57422,392487,Malta,MLT,2004,85.35388184,28223.38281,408805,Malta,MLT,2010,77.61184692,32867.96094,418758,Malta,MLT,2016,76.69258118,40536.74609,467717
Mauritania,MRT,1992,28.35821152,4477.452637,2147536,Mauritania,MRT,1998,26.927948,4520.623535,2550504,Mauritania,MRT,2004,32.93802261,4307.255859,2946583,Mauritania,MRT,2010,31.54819298,4671.642578,3419462,Mauritania,MRT,2016,31.69356346,4944.568848,4051896
Mauritius,MUS,1992,31.32150269,8676.973633,1118719,Mauritius,MUS,1998,32.33963776,10953.67676,1194879,Mauritius,MUS,2004,43.45035553,13413.99316,1250388,Mauritius,MUS,2010,48.6918335,16797.81641,1283347,Mauritius,MUS,2016,51.82533646,20646.93359,1293909
Mexico,MEX,1992,41.04689026,15550.56055,84993160,Mexico,MEX,1998,50.92838287,16954.33008,94767288,Mexico,MEX,2004,59.67531586,17635.24609,103945816,Mexico,MEX,2010,65.96002197,17790.01172,112532400,Mexico,MEX,2016,66.15979767,19539.26172,121519224
Mongolia,MNG,1992,105.3937225,4015.208984,2236503,Mongolia,MNG,1998,106.9151154,4415.929199,2405156,Mongolia,MNG,2004,73.96833038,5544.780762,2537955,Mongolia,MNG,2010,67.72244263,7470.780762,2702527,Mongolia,MNG,2016,86.849823,10961.96777,3029559
Morocco,MAR,1992,18.89550209,3864.534668,25400676,Morocco,MAR,1998,19.54271889,4349.379395,27791828,Morocco,MAR,2004,21.92961884,5120.54834,30033124,Morocco,MAR,2010,32.50961304,6281.123535,32464866,Morocco,MAR,2016,34.29973221,7105.855957,35107272
Mozambique,MOZ,1992,5.113863945,436.7203674,13816886,Mozambique,MOZ,1998,11.57837772,587.8637085,16923202,Mozambique,MOZ,2004,9.320995331,792.7272949,19694412,Mozambique,MOZ,2010,7.160131931,1027.208862,23073732,Mozambique,MOZ,2016,8.790021896,1273.783691,27696500
Myanmar,MMR,1992,5.253443241,580.8097534,41237808,Myanmar,MMR,1998,7.936767578,796.9230347,44516188,Myanmar,MMR,2004,18.47546005,1473.020996,47338444,Myanmar,MMR,2010,37.72013092,2762.613525,49390988,Myanmar,MMR,2016,56.23978806,4020.24292,51892352
Namibia,NAM,1992,25.43043137,6511.898438,1461694,Namibia,NAM,1998,18.07245827,6592.160645,1735959,Namibia,NAM,2004,35.24631882,7942.557129,1939405,Namibia,NAM,2010,30.60177612,9031.160156,2099275,Namibia,NAM,2016,29.04945755,10471.2793,2323351
Nepal,NPL,1992,9.535856247,1697.477417,20702138,Nepal,NPL,1998,9.915234566,1945.45105,23703330,Nepal,NPL,2004,10.11808586,2234.154785,26003970,Nepal,NPL,2010,11.05991554,2703.414795,27161572,Nepal,NPL,2016,13.40978813,3315.814453,27861186
Netherlands,NLD,1992,86.65782166,37405.92969,15150688,Netherlands,NLD,1998,95.1005249,43933.56641,15722601,Netherlands,NLD,2004,78.17105103,48586.70313,16196036,Netherlands,NLD,2010,73.62898254,52032.98828,16617121,Netherlands,NLD,2016,69.46883392,53847.82813,17124512
New Zealand,NZL,1992,93.4848175,26479.04102,3532568,New Zealand,NZL,1998,99.36436462,30599.32227,3810047,New Zealand,NZL,2004,109.1219864,36504.19922,4081415,New Zealand,NZL,2010,91.23874664,37657.14453,4346345,New Zealand,NZL,2016,100.4942856,41672.10156,4668088
Nicaragua,NIC,1992,13.98747349,3309.470703,4427177,Nicaragua,NIC,1998,13.29095936,3676.933838,4974551,Nicaragua,NIC,2004,19.69705582,4200.214844,5386220,Nicaragua,NIC,2010,23.36976814,4611.785156,5855736,Nicaragua,NIC,2016,27.8901329,5811.805176,6389237
Niger,NER,1992,17.66604424,1069.585205,8907642,Niger,NER,1998,19.58780479,1016.669312,10854919,Niger,NER,2004,22.35659981,929.2172241,13366889,Niger,NER,2010,9.56998539,1036.160767,16647545,Niger,NER,2016,8.840089798,1151.17627,20921748
Nigeria,NGA,1992,7.542262554,3253.694336,100182048,Nigeria,NGA,1998,9.002152443,2962.89209,116690528,Nigeria,NGA,2004,9.205933571,3854.008057,136756848,Nigeria,NGA,2010,8.809988976,4932.334961,160952864,Nigeria,NGA,2016,7.839989185,5284.893066,188666928
North Macedonia,MKD,1992,22.43887329,10013.04199,2018024,North Macedonia,MKD,1998,32.22517395,9460.996094,2012844,North Macedonia,MKD,2004,39.6909523,10730.50684,2075879,North Macedonia,MKD,2010,34.70618439,13514.98145,2093828,North Macedonia,MKD,2016,35.31431198,15553.43945,2110194
Norway,NOR,1992,52.35833359,44517.4375,4286560,Norway,NOR,1998,59.35992813,54989.70313,4431672,Norway,NOR,2004,64.29692078,60699.56641,4592284,Norway,NOR,2010,71.15177917,61353.47656,4889747,Norway,NOR,2016,68.47064972,63104.08203,5236591
Oman,OMN,1992,37.00490189,31873.94531,1985234,Oman,OMN,1998,42.10190964,36412.4375,2279727,Oman,OMN,2004,47.96969604,36515.75391,2468860,Oman,OMN,2010,51.08269119,38678.96484,2881915,Oman,OMN,2016,42.6979332,34591.71484,4398080
Pakistan,PAK,1992,12.93266964,3118.13916,122375176,Pakistan,PAK,1998,11.82800579,3169.890137,145476112,Pakistan,PAK,2004,12.07221889,3560.811768,170648624,Pakistan,PAK,2010,15.28003025,3906.874023,194454496,Pakistan,PAK,2016,16.61997223,4421.582031,213524848
Panama,PAN,1992,43.36856079,12181.21582,2554387,Panama,PAN,1998,60.68793869,14142.62598,2885179,Panama,PAN,2004,53.43427658,15491.00098,3243310,Panama,PAN,2010,60.13510132,21343.33398,3623622,Panama,PAN,2016,65.85881042,29332.37695,4026338
Paraguay,PRY,1992,78.90853119,8475.918945,4277057,Paraguay,PRY,1998,75.58115387,9226.506836,4923454,Paraguay,PRY,2004,52.55651855,8528.038086,5416327,Paraguay,PRY,2010,23.72993469,10415.65625,5768618,Paraguay,PRY,2016,31.46056557,12170.78418,6266623
